Elec Peak Const,Most Probable Value Elec (ns),Sigma Elec (Multiplier),Gamma Peak Const,Most Probable Value Gamm (ns),Sigma Gamma (Multiplier),Corrected Height Electron,Corrected Height Gamma,
2502.2,20.143,18.4114,120.212,2634.05,21.8812,447.528,21.5005,
2511.22,18.9372,17.9695,138.258,3192.36,18.4486,449.142,24.728,
2456.03,20.5521,18.3147,106.412,5838.95,23.4781,439.271,19.0322,
2430.38,20.5303,18.8896,104.032,4920.27,24.2085,434.684,18.6065,
2468.32,18.9475,18.4411,105.773,4107.02,24.8032,441.469,18.9179,
2441.79,22.3939,18.0523,87.315,7937.87,26.9704,436.724,15.6166,
2485.68,20.01,18.6841,115.772,5873.09,19.9049,444.575,20.7062,
2550.82,11.4948,9.16082,899.017,67.5258,20.2713,456.225,160.793,
2508.35,19.9382,18.1349,114.087,20667.8,23.4825,448.629,20.4049,
2483.28,21.1159,18.2509,127.728,1508.89,20.8145,444.146,22.8446,
2580.97,20.4849,18.0591,129.901,2132.87,19.7453,461.617,23.2334,
2441.3,21.7104,18.195,109.005,1208.19,22.5421,436.637,19.4961,
2376.25,21.1715,18.8143,129.025,12055.4,24,425.001,23.0767,
2432.29,21.3248,18.7166,135.928,649.065,14.2262,435.026,24.3113,
2453.34,20.8397,18.5014,104.823,2054,22.2352,438.791,18.748,
2482.44,20.1728,18.3117,85.5351,1577.08,25.4166,443.994,15.2983,
2431.99,22.1565,18.7061,128.62,1623.9,21.3695,434.971,23.0041,
2444.81,20.1497,18.5889,120.642,907.629,16.62,437.264,21.5773,
2553.7,19.7684,18.0782,110.469,509.009,9.02783,456.739,19.7579,
2488.99,19.6917,18.4804,128.806,4275.51,19.1709,445.166,23.0374,
2472,20.4302,18.8675,113.418,9368.31,20.446,442.128,20.2852,
2394.5,21.116,18.4655,146.533,1972.82,12.4729,428.266,26.208,
2538.07,20.5831,17.917,121.511,11952.7,21.5686,453.945,21.7328,
2483.76,21.2549,18.2321,218.524,5818.01,6.97158,444.23,39.0839,
2453.35,20.4091,18.8398,94.8353,5469.89,26.2538,438.793,16.9617,
1515.39,19.7794,18.7822,111.825,6617.3,20.114,271.035,20.0004,
2458.89,21.9997,18.2248,103.394,1493.47,23.5699,439.782,18.4924,
2440.07,17.9616,20.0159,133.661,438.631,7.7233,436.416,23.9058,
2446.78,20.8597,18.6103,116.038,11759.1,23.4503,437.617,20.7539,
4288.64,-42.988,27.7984,-89.2239,257.785,160.849,767.04,-15.9581,
2480.13,20.2197,18.5876,126.957,3501.92,20.635,443.582,22.7069,
2511.97,19.2608,18.6207,106.565,5175.24,23.6076,449.277,19.0596,
1653.97,16.7338,20.0336,124.07,432.308,10.4791,295.819,22.1905,
2512.07,21.3083,18.7074,122.377,653.608,12.9088,449.293,21.8876,
2499.19,20.3326,18.3871,127.067,1926.93,19.9637,446.991,22.7265,
2634.74,17.8502,17.5268,249.238,12009,9.75466,471.235,44.5773,
2444.62,19.975,18.6903,93.3013,5709.39,24.0459,437.231,16.6873,
2557.73,18.8024,18.1104,156.912,584.07,7.49332,457.461,28.0644,
2534.69,20.1486,17.596,92.2149,8308.16,26.9871,453.34,16.493,
2473.31,17.4954,19.9621,129.081,403.073,7.70933,442.361,23.0866,
2515.48,20.116,18.4427,108.488,18820.5,26.1219,449.905,19.4035,
2441.13,20.915,18.0069,107.881,2628.42,24.0763,436.606,19.295,
2509.86,20.5819,18.9638,99.8391,1816.88,24.6168,448.899,17.8566,
2458.14,20.0891,18.9315,64.748,1702.12,33.0817,439.648,11.5804,
